alias_normalizado,sku
akt dynamic,SKU-018
akt dynamic r3 125 2026,SKU-018
akt evo,SKU-020
akt evo rs 150 2026,SKU-020
akt nkd,SKU-017
akt nkd 125 2026,SKU-017
akt ttr,SKU-019
akt ttr 200 2026,SKU-019
bajaj boxer,SKU-007
bajaj boxer ct 100 2026,SKU-007
bajaj discover,SKU-012
bajaj discover 125 2026,SKU-012
bajaj dominar,SKU-011
bajaj dominar 400 2026,SKU-011
bajaj pulsar ns 125 2026,SKU-008
bajaj pulsar ns 160 2026,SKU-009
bajaj pulsar rs 200 2026,SKU-010
best 125,SKU-016
boxer ct 100,SKU-007
cb 125f twister,SKU-001
cb 190r,SKU-003
dash 110,SKU-024
dio 110,SKU-005
discover 125,SKU-012
dominar 400,SKU-011
dynamic r3 125,SKU-018
eco deluxe 100,SKU-021
evo rs 150,SKU-020
gixxer 150,SKU-014
gn 125,SKU-013
hero dash,SKU-024
hero dash 110 2026,SKU-024
hero eco,SKU-021
hero eco deluxe 100 2026,SKU-021
hero hunk,SKU-022
hero hunk 160r 2026,SKU-022
hero xpulse,SKU-023
hero xpulse 200 2026,SKU-023
honda cb 125f twister 2026,SKU-001
honda cb 190r 2026,SKU-003
honda dio,SKU-005
honda dio 110 2026,SKU-005
honda navi 2026,SKU-004
honda xr,SKU-002
honda xr 150l 2026,SKU-002
honda xre,SKU-006
honda xre 300 2026,SKU-006
hunk 160r,SKU-022
navi,SKU-004
nkd 125,SKU-017
pulsar ns 125,SKU-008
pulsar ns 160,SKU-009
pulsar rs 200,SKU-010
suzuki best,SKU-016
suzuki best 125 2026,SKU-016
suzuki gixxer,SKU-014
suzuki gixxer 150 2026,SKU-014
suzuki gn,SKU-013
suzuki gn 125 2026,SKU-013
suzuki v strom,SKU-015
suzuki v strom 250 2026,SKU-015
ttr 200,SKU-019
v strom 250,SKU-015
xpulse 200,SKU-023
xr 150l,SKU-002
xre 300,SKU-006
